"No.","Time","Source","Destination","Protocol","Length","Flags","Window","Differentiated Services Field","Version","Info"
"251","2.314194948","10.0.0.6","52.214.234.187","TCP","66","0x010","603","0x00","","56600  >  443 [ACK] Seq=4855 Ack=3035 Win=603 Len=0 TSval=3979987793 TSecr=3655080481"
"252","2.315428399","178.250.7.48","10.0.0.6","TLSv1.3","1465","0x010","63","0x00","TLS 1.2,TLS 1.2,TLS 1.2","Server Hello, Change Cipher Spec, Application Data"
"253","2.315445932","10.0.0.6","178.250.7.48","TCP","66","0x010","524","0x00","","53938  >  443 [ACK] Seq=1728 Ack=1400 Win=67072 Len=0 TSval=720069029 TSecr=607927878"
"254","2.315611121","178.250.7.48","10.0.0.6","TCP","1465","0x018","63","0x00","","443  >  53938 [PSH, ACK] Seq=1400 Ack=1728 Win=64512 Len=1399 TSval=607927878 TSecr=720068964 [TCP PDU reassembled in 255]"
"255","2.315611222","178.250.7.48","10.0.0.6","TLSv1.3","478","0x018","63","0x00","TLS 1.2,TLS 1.2,TLS 1.2","Application Data, Application Data, Application Data"
"256","2.315627231","10.0.0.6","178.250.7.48","TCP","66","0x010","546","0x00","","53938  >  443 [ACK] Seq=1728 Ack=2799 Win=69888 Len=0 TSval=720069029 TSecr=607927878"
"257","2.315702009","10.0.0.6","178.250.7.48","TCP","66","0x010","568","0x00","","53938  >  443 [ACK] Seq=1728 Ack=3211 Win=72704 Len=0 TSval=720069029 TSecr=607927878"
"258","2.316473400","10.0.0.6","178.250.7.48","TLSv1.3","130","0x018","568","0x00","TLS 1.2,TLS 1.2","Change Cipher Spec, Application Data"
"259","2.317070948","10.0.0.6","178.250.7.48","TLSv1.3","158","0x018","568","0x00","TLS 1.2","Application Data"
"260","2.317364032","10.0.0.6","178.250.7.48","TLSv1.3","819","0x018","568","0x00","TLS 1.2","Application Data"
"261","2.317577038","10.0.0.6","178.250.7.48","TCP","2946","0x018","568","0x00","","53938  >  443 [PSH, ACK] Seq=2637 Ack=3211 Win=72704 Len=2880 TSval=720069031 TSecr=607927878 [TCP PDU reassembled in 262]"
"262","2.318916655","10.0.0.6","178.250.7.48","TLSv1.3","1393","0x018","568","0x00","TLS 1.2","Application Data"
"263","2.338599572","10.0.0.6","142.250.75.74","QUIC","76","","","0x00","","Protected Payload (KP0), DCID=eb0c6237ae7da0eb"
"264","2.348803026","142.250.75.74","10.0.0.6","QUIC","66","","","0x80","","Protected Payload (KP0)"
